"Deal - ID","Person - ID","Deal - Deal created","Deal - Stage","Deal - Status","Deal - Lost reason","Deal - Nazwa kursu","Deal - Termin zakończenia kursu","Deal - Certyfikat - numer","Deal - Źródło finansowania","Person - Znaleziona praca - czy znalazł pracę","Person - Znaleziona praca - czy związana z kursem","Person - Znaleziona praca - czy się przebranżowił"
"185667","217907","2024-12-30 10:22:55","Kolejka (darmowa)","Open","","Analityk Biznesowy","2025-03-09","","","","",""
"185552","205090","2024-12-23 09:28:48","Kolejka (darmowa)","Open","","Python Developer","2025-03-23","","Amazon","Nie - nadal w tej samej pracy","Nie","Nie"
"185551","216888","2024-12-23 09:26:48","Kolejka (darmowa)","Open","","Python Developer","2025-03-23","","Amazon","","",""
"185547","216241","2024-12-23 09:24:08","Kolejka (darmowa)","Open","","Python Developer","2025-03-23","","Amazon","","",""
"185546","195872","2024-12-23 09:22:14","Kolejka (darmowa)","Open","","Python Developer","2025-03-23","","Amazon","Brak informacji","Brak informacji","Brak informacji"
"185543","190841","2024-12-23 09:14:56","Kolejka (darmowa)","Open","","HTML, CSS + WordPress","2024-01-14","","Amazon","","",""
"185541","175829","2024-12-23 09:09:08","Propozycja warsztatów","Open","","Data Science - SQL","2025-01-12","","Amazon","Brak informacji","Brak informacji","Brak informacji"
"185539","217526","2024-12-23 09:06:53","Propozycja warsztatów","Open","","Data Science - SQL","2025-01-12","","Amazon","","",""
"185536","115738","2024-12-23 09:04:35","Propozycja warsztatów","Open","","Data Science - SQL","2025-01-12","","Amazon","","",""
"185534","165822","2024-12-23 09:01:33","Po warsztatach CV","Open","","Data Science - SQL","2025-01-12","","Amazon","","",""
"185532","217617","2024-12-23 08:58:20","Propozycja warsztatów","Open","","Data Science - SQL","2025-01-12","","Amazon","","",""
"185474","151679","2024-12-20 14:01:50","Kolejka (darmowa)","Open","","Data Science - SQL","2024-12-15","","Amazon","Brak informacji","Brak informacji","Brak informacji"
"185322","187994","2024-12-16 13:20:11","Propozycja warsztatów","Open","","Analityk Biznesowy","2025-02-09","","Amazon","","",""
"185319","217671","2024-12-16 13:17:49","Po warsztatach CV","Open","","Analityk Biznesowy","2025-02-09","","Amazon","","",""
"185316","217666","2024-12-16 13:15:49","Propozycja warsztatów","Open","","Analityk Biznesowy","2025-02-09","","Amazon","","",""
"185313","211572","2024-12-16 12:51:19","Propozycja warsztatów","Open","","Analityk Biznesowy","2025-02-09","","Amazon","","",""
"185310","217259","2024-12-16 12:45:58","Propozycja warsztatów","Open","","Analityk Biznesowy","2025-02-09","","Amazon","","",""
"185308","216107","2024-12-16 12:43:56","Propozycja warsztatów","Open","","Analityk Biznesowy","2025-02-09","","Amazon","","",""
"185306","187103","2024-12-16 12:41:33","Propozycja warsztatów","Open","","Analityk Biznesowy","2025-02-09","","Amazon","","",""
"185303","168209","2024-12-16 12:37:50","Po warsztatach CV","Open","","Analityk Biznesowy","2025-02-09","","Amazon","Brak informacji","Brak informacji","Brak informacji"
"185300","216575","2024-12-16 12:34:50","Propozycja warsztatów","Open","","Analityk Biznesowy","2025-02-09","","Amazon","","",""
"185158","214717","2024-12-09 14:29:34","Kolejka (darmowa)","Open","","Python Developer (ENG)","2024-10-04","","Amazon","","",""
"185116","216801","2024-12-06 13:24:32","Po warsztatach CV","Open","","Data Science","2025-03-30","","Własne","","",""
"184932","217326","2024-12-02 13:33:32","Kolejka (darmowa)","Open","","Program praca w IT","","","","","",""
"184925","217225","2024-12-02 11:22:34","Kolejka (darmowa)","Open","","Python Developer (ENG)","2025-03-28","","Amazon","","",""
"184923","217186","2024-12-02 11:18:27","Kolejka (darmowa)","Open","","Python Developer (ENG)","2025-03-28","","Amazon","","",""
"184919","217529","2024-12-02 10:28:19","Propozycja warsztatów","Open","","Framework Scrum: Scrum Master & Product Owner","2025-01-12","","","","",""
"184915","217236","2024-12-02 09:19:40","Po warsztatach CV","Open","","Data Science","2025-03-30","","Własne","","",""
"184866","217326","2024-11-29 15:20:38","Kolejka (darmowa)","Open","","Python Developer","2025-03-23","","Własne","","",""
"184862","217276","2024-11-29 14:49:31","Po warsztatach CV","Open","","Analityk Biznesowy","2025-02-02","","Własne","","",""
"184851","217433","2024-11-29 12:11:27","Po warsztatach CV","Open","","Framework Scrum: Scrum Master & Product Owner","2025-01-12","","Pracodawca","","",""
"184849","212106","2024-11-29 12:08:22","Propozycja warsztatów","Open","","Framework Scrum: Scrum Master & Product Owner","2025-01-12","","","","",""
"184786","216566","2024-11-27 09:11:11","Kolejka (darmowa)","Open","","Analityk Biznesowy","2025-02-02","","Własne","","",""
"184765","129597","2024-11-26 14:08:19","Kolejka (darmowa)","Open","","Analityk Biznesowy","2025-02-02","","","","",""
"184727","116104","2024-11-25 11:43:50","Zakwalifikowani","Open","","Data Science","2025-03-02","","Własne","","",""
"184725","216260","2024-11-25 11:37:15","Kolejka (darmowa)","Lost","3.1 Rezygnacja przed rozpoczęciem","Business Intelligence","2025-02-28","","Własne","","",""
"184721","217188","2024-11-25 11:21:14","Kolejka (darmowa)","Open","","Python Developer (ENG)","2025-03-28","","Amazon","","",""
"184718","216757","2024-11-25 11:18:15","Kolejka (darmowa)","Open","","Python Developer (ENG)","2025-03-28","","Amazon","","",""
"184714","216689","2024-11-25 11:14:59","Kolejka (darmowa)","Open","","Python Developer (ENG)","2025-03-28","","Amazon","","",""
"184711","146372","2024-11-25 11:10:41","Propozycja warsztatów","Open","","Tester Oprogramowania","2025-01-26","","","","",""
"184709","217306","2024-11-25 11:03:27","Zakwalifikowani","Open","","Tester Oprogramowania","2025-01-26","","Orange","","",""
"184706","216382","2024-11-25 11:00:29","Propozycja warsztatów","Open","","Tester Oprogramowania","2025-01-26","","Amazon","","",""
"184703","216565","2024-11-25 10:58:31","Propozycja warsztatów","Open","","Tester Oprogramowania","2025-01-26","","Amazon","","",""
"184701","217045","2024-11-25 10:54:18","Kolejka (darmowa)","Open","","Python Developer (ENG)","2025-03-28","","Amazon","","",""
"184698","214288","2024-11-25 10:52:16","Kolejka (darmowa)","Open","","Python Developer (ENG)","2025-03-28","","Amazon","","",""
"184696","216740","2024-11-25 10:49:53","Kolejka (darmowa)","Open","","Python Developer (ENG)","2025-03-28","","Amazon","","",""
"184693","216369","2024-11-25 10:44:06","Kolejka (darmowa)","Open","","Python Developer (ENG)","2025-03-28","","Amazon","","",""
"184689","215045","2024-11-25 10:41:04","Kolejka (darmowa)","Open","","Python Developer (ENG)","2025-03-28","","Amazon","","",""
"184686","215750","2024-11-25 10:37:50","Kolejka (darmowa)","Open","","Python Developer (ENG)","2025-03-28","","Amazon","","",""
"184682","209305","2024-11-25 10:32:04","Kolejka (darmowa)","Open","","Python Developer (ENG)","2025-03-28","","Amazon","","",""
"184676","216937","2024-11-25 09:20:16","Propozycja warsztatów","Open","","Framework Scrum: Scrum Master & Product Owner","2025-01-12","","Własne","","",""
"184635","215008","2024-11-22 09:09:26","Kolejka (darmowa)","Lost","3.1 Rezygnacja przed rozpoczęciem","Business Intelligence","2025-02-28","","Własne","","",""
"184608","216591","2024-11-21 08:55:33","Kolejka (darmowa)","Open","","Analityk Biznesowy","2024-12-06","","Amazon","","",""
"184575","205009","2024-11-20 09:14:00","Propozycja warsztatów","Open","","Framework Scrum: Scrum Master & Product Owner","2025-01-12","","Własne","","",""
"184505","215458","2024-11-18 14:47:21","Kolejka (darmowa)","Open","","Tester Oprogramowania","2024-11-03","","Amazon","","",""
"184430","216663","2024-11-15 08:38:59","Kolejka (darmowa)","Open","","Cybersecurity","2025-03-23","","","","",""
"184411","216263","2024-11-14 11:19:06","Kolejka (darmowa)","Open","","Data Science","2025-03-02","","Pracodawca","","",""
"184367","114410","2024-11-12 12:55:45","Kolejka (darmowa)","Open","","UX Designer Flexi","2025-02-23","","Pracodawca","","",""
"184365","215578","2024-11-12 12:50:43","Kolejka (darmowa)","Open","","UX Designer Flexi","2025-02-23","","Własne","","",""
"184361","205055","2024-11-12 12:48:39","Po warsztatach CV","Open","","UX Designer Flexi","2025-02-23","","Własne","","",""
"184349","103262","2024-11-12 10:31:47","Kolejka (darmowa)","Open","","Chat GPT","2024-11-14","","","Tak","Tak","Nie"
"184344","215249","2024-11-12 09:30:09","Propozycja warsztatów","Open","","Framework Scrum: Scrum Master & Product Owner","2024-12-15","2024/12/31","Amazon","","",""
"184269","215384","2024-11-08 13:57:25","Kolejka (darmowa)","Open","","Tester Automatyzujący","2025-01-12","","Własne","","",""
"184265","211991","2024-11-08 13:55:49","Po warsztatach CV","Open","","Tester Automatyzujący","2025-01-12","","Urząd Pracy","","",""
"184263","172554","2024-11-08 13:54:07","Kolejka (darmowa)","Open","","Tester Automatyzujący","2025-01-12","","Amazon","","",""
"184259","216182","2024-11-08 13:52:48","Kolejka (darmowa)","Open","","Tester Automatyzujący","2025-01-12","","Amazon","","",""
"184256","206404","2024-11-08 13:50:51","Kolejka (darmowa)","Open","","Tester Automatyzujący","2025-01-12","","Amazon","Nie - nadal w tej samej pracy","Nie","Nie"
"184254","215730","2024-11-08 13:49:13","Kolejka (darmowa)","Open","","Tester Automatyzujący","2025-01-12","","Pracodawca","","",""
"184231","183749","2024-11-07 15:36:58","Propozycja warsztatów","Open","","Framework Scrum: Scrum Master & Product Owner","2024-12-15","2024/12/32","Amazon","","",""
"184227","217034","2024-11-07 15:35:02","Po warsztatach CV","Open","","Framework Scrum: Scrum Master & Product Owner","2024-12-15","2024/12/33","Pracodawca","","",""
"184223","217032","2024-11-07 15:31:56","Propozycja warsztatów","Open","","Framework Scrum: Scrum Master & Product Owner","2024-12-15","2024/12/36","Pracodawca","","",""
"184220","217031","2024-11-07 15:28:42","Po warsztatach CV","Open","","Framework Scrum: Scrum Master & Product Owner","2024-12-15","2024/12/30","Urząd Pracy","","",""
"184217","203088","2024-11-07 15:16:40","Propozycja warsztatów","Open","","Framework Scrum: Scrum Master & Product Owner","2024-12-15","","Amazon","","",""
"184214","216192","2024-11-07 15:05:19","Propozycja warsztatów","Open","","Framework Scrum: Scrum Master & Product Owner","2024-12-15","","Amazon","","",""
"184082","216632","2024-11-04 12:40:11","Kolejka (darmowa)","Open","","Analityk Biznesowy","2024-12-08","","Pracodawca","","",""
"184080","216927","2024-11-04 12:37:39","Kolejka (darmowa)","Open","","Analityk Biznesowy","2024-12-08","","Pracodawca","","",""
"184077","216625","2024-11-04 12:35:39","Kolejka (darmowa)","Open","","Analityk Biznesowy","2024-12-08","","Pracodawca","","",""
"184073","216368","2024-11-04 12:32:18","Po warsztatach CV","Open","","Analityk Biznesowy","2024-12-08","","","","",""
"184070","216926","2024-11-04 12:29:32","Kolejka (darmowa)","Open","","Analityk Biznesowy","2024-12-08","","","","",""
"184067","216490","2024-11-04 12:01:22","Po warsztatach CV","Open","","Analityk Biznesowy","2024-12-08","","Amazon","","",""
"184065","216201","2024-11-04 11:59:08","Kolejka (darmowa)","Open","","Analityk Biznesowy","2024-12-08","","Amazon","","",""
"184061","216117","2024-11-04 11:55:54","Kolejka (darmowa)","Open","","Analityk Biznesowy","2024-12-06","","Amazon","","",""
"184058","209402","2024-11-04 11:53:34","Po warsztatach CV","Open","","Analityk Biznesowy","2024-12-08","","Amazon","","",""
"184057","216162","2024-11-04 11:51:39","Kolejka (darmowa)","Open","","Analityk Biznesowy","2024-12-08","","Amazon","","",""
"184052","216606","2024-11-04 10:36:04","Zakwalifikowani","Open","","Data Science","2025-03-02","","PKO","","",""
"183784","210422","2024-10-23 12:31:40","Zakwalifikowani","Lost","4.4 Przeterminowani","Tester Oprogramowania","2024-04-28","","Orange","","",""
"183756","113967","2024-10-22 15:21:34","Propozycja warsztatów","Lost","4.6 Brak zaliczenia","LangChain.py","2024-11-17","","","","",""
"183753","215187","2024-10-22 15:19:53","Propozycja warsztatów","Lost","4.6 Brak zaliczenia","LangChain.py","2024-11-17","","","","",""
"183749","211532","2024-10-22 15:16:54","Propozycja warsztatów","Lost","4.6 Brak zaliczenia","LangChain.py","2024-11-17","","","","",""
"183713","211673","2024-10-21 14:10:45","Po warsztatach CV","Open","","Data Science","2025-03-02","","Własne","","",""
"183382","215705","2024-10-10 14:59:49","Po rozmowie 2","Open","","Tester Oprogramowania","2024-12-15","","Orange","","",""
"183378","211962","2024-10-10 14:57:18","Symulacja 1","Open","","Tester Oprogramowania","2024-12-15","","","","",""
"183375","216465","2024-10-10 14:15:04","Zakwalifikowani","Open","","Cybersecurity","2025-02-07","","Orange","","",""
"183369","214800","2024-10-10 13:51:31","Propozycja warsztatów","Open","","Business Intelligence","2024-12-29","","","","",""
"183368","215169","2024-10-10 13:50:10","Propozycja warsztatów","Open","","Business Intelligence","2024-12-29","","Urząd Pracy","","",""
"183364","130435","2024-10-10 13:41:27","Po warsztatach CV","Open","","Business Intelligence","2024-12-27","","BUR","","",""
"183321","124407","2024-10-09 10:52:04","Po warsztatach CV","Open","","Framework Scrum: Scrum Master & Product Owner","2024-12-15","2024/12/35","","","",""
"183287","213109","2024-10-08 15:30:52","Propozycja warsztatów","Open","","Python Developer","2025-01-13","","Amazon","","",""
"183252","216204","2024-10-07 15:52:03","Kolejka (darmowa)","Open","","UX Designer Flexi","2025-01-26","","Amazon","","",""
"183228","208793","2024-10-07 09:29:25","Kolejka (darmowa)","Open","","UX Designer Flexi","2025-01-26","","Amazon","Brak informacji","Brak informacji","Brak informacji"
"183226","216047","2024-10-07 09:21:19","Kolejka (darmowa)","Open","","UX Designer Flexi","2025-01-26","","Amazon","","",""
"183223","216045","2024-10-07 09:18:51","Kolejka (darmowa)","Open","","UX Designer Flexi","2025-01-26","","Amazon","","",""
"183221","215762","2024-10-07 09:16:41","Kolejka (darmowa)","Open","","UX Designer Flexi","2025-01-26","","Amazon","","",""
"183220","215761","2024-10-07 09:14:46","Kolejka (darmowa)","Open","","UX Designer Flexi","2025-01-26","","Amazon","","",""
"183217","215204","2024-10-07 09:12:25","Kolejka (darmowa)","Open","","UX Designer Flexi","2025-01-26","","Amazon","","",""
"183214","214954","2024-10-07 09:09:53","Kolejka (darmowa)","Open","","UX Designer Flexi","2025-01-26","","Amazon","","",""
"183212","186074","2024-10-07 09:07:37","Kolejka (darmowa)","Open","","UX Designer Flexi","2025-01-26","","Amazon","","",""
"183046","215745","2024-09-30 11:14:46","Propozycja warsztatów","Open","","Python Developer","2024-12-29","","Amazon","","",""
"183044","215769","2024-09-30 11:13:39","Po warsztatach CV","Open","","Python Developer","2024-12-29","","Amazon","","",""
"183041","216238","2024-09-30 11:09:51","Propozycja warsztatów","Open","","Python Developer","2024-12-29","","Urząd Pracy","","",""
"182861","114372","2024-09-23 10:28:02","Propozycja warsztatów","Open","","SQL (AM)","2024-10-11","","Amazon","","",""
"182858","160768","2024-09-23 10:25:43","Propozycja warsztatów","Open","","SQL (AM)","2024-10-11","","Amazon","Tak","Nie","Nie"
"182857","201309","2024-09-23 10:21:16","Propozycja warsztatów","Open","","SQL (AM)","2024-10-11","","Amazon","Brak informacji","Brak informacji","Brak informacji"
"182854","215122","2024-09-23 10:19:37","Po warsztatach CV","Open","","SQL (AM)","2024-10-11","","Amazon","","",""
"182852","215095","2024-09-23 10:16:44","Propozycja warsztatów","Open","","SQL (AM)","2024-10-11","","Amazon","","",""
"182850","215079","2024-09-23 10:15:44","Propozycja warsztatów","Open","","SQL (AM)","2024-10-11","","Amazon","","",""
"182848","214537","2024-09-23 10:14:32","Propozycja warsztatów","Open","","SQL (AM)","2024-10-11","","Amazon","","",""
"182846","214520","2024-09-23 10:13:06","Po warsztatach CV","Open","","SQL (AM)","2024-10-11","","Amazon","","",""
"182703","200018","2024-09-19 13:11:08","Propozycja warsztatów","Lost","4.6 Brak zaliczenia","LangChain.py","2024-11-03","","Własne","","",""
"182682","206770","2024-09-18 15:06:12","Po warsztatach CV","Open","","Analityk Biznesowy","2024-10-27","","","","",""
"182680","215558","2024-09-18 15:03:42","Kolejka (darmowa)","Open","","Analityk Biznesowy","2024-10-27","","Amazon","","",""
"182669","215952","2024-09-18 09:11:09","Propozycja warsztatów","Open","","Python Developer","2024-12-29","","Własne","","",""
"182613","124407","2024-09-16 12:11:33","Kolejka (darmowa)","Lost","3.2 Rezygnacja w trakcie","Analityk Biznesowy","2024-10-27","","Własne","","",""
"182603","214054","2024-09-16 08:57:12","Propozycja warsztatów","Open","","Tester Oprogramowania","2024-11-03","","Amazon","","",""
"182602","215675","2024-09-16 08:54:13","Po warsztatach CV","Open","","Tester Oprogramowania","2024-11-03","","Amazon","","",""
"182600","215592","2024-09-16 08:50:11","Propozycja warsztatów","Open","","Tester Oprogramowania","2024-11-03","","Amazon","","",""
"182596","194563","2024-09-16 08:44:21","Propozycja warsztatów","Open","","Tester Oprogramowania","2024-11-03","","Amazon","","",""
"182593","215037","2024-09-16 08:40:36","Propozycja warsztatów","Open","","Tester Oprogramowania","2024-11-03","","Amazon","","",""
"182592","214997","2024-09-16 08:38:33","Propozycja warsztatów","Open","","Tester Oprogramowania","2024-11-03","","Amazon","","",""
"182589","213171","2024-09-16 08:35:35","Po warsztatach","Lost","4.5 Urwany kontakt","Tester Oprogramowania","2024-11-03","","Orange","","",""
"182585","161669","2024-09-16 08:33:52","Propozycja warsztatów","Lost","4.6 Brak zaliczenia","Tester Oprogramowania","2024-11-03","","Amazon","","",""
"182520","215150","2024-09-13 09:22:36","Zakwalifikowani","Open","","Data Science","2025-02-16","","","","",""
"182445","214543","2024-09-12 13:19:37","Po warsztatach CV","Open","","Cybersecurity","2024-12-06","","","","",""
"182435","212665","2024-09-12 09:04:37","Zakwalifikowani","Open","","Analityk Biznesowy","2024-11-24","","","","",""
"182423","215556","2024-09-11 16:04:03","Propozycja warsztatów","Open","","Cybersecurity","2024-12-08","","Własne","","",""
"182357","215785","2024-09-09 15:05:13","Po warsztatach CV","Open","","Tester Oprogramowania","2024-11-03","","Urząd Pracy","","",""
"182310","215754","2024-09-06 19:25:44","Zakwalifikowani","Open","","Business Intelligence","2024-12-29","","Orange","","",""
"182306","215752","2024-09-06 19:22:50","Zakwalifikowani","Open","","Business Intelligence","2024-12-29","","Orange","","",""
"182292","214855","2024-09-06 13:42:55","Po warsztatach CV","Open","","Tester Oprogramowania","2024-11-03","","Urząd Pracy","","",""
"182287","215657","2024-09-06 13:05:37","Propozycja warsztatów","Open","","Python Developer","2024-12-29","","Własne","","",""
"182280","215447","2024-09-06 12:23:46","Propozycja warsztatów","Lost","4.6 Brak zaliczenia","Tester Oprogramowania","2024-11-03","","Urząd Pracy","","",""
"182196","207269","2024-09-03 08:36:35","Po warsztatach CV","Open","","Cybersecurity","2024-12-06","","","","",""
"182167","210998","2024-09-02 09:05:57","Po warsztatach CV","Open","","Framework Scrum: Scrum Master & Product Owner","2024-10-27","2024/12/34","Własne","","",""
"182115","215545","2024-08-30 14:23:30","Po warsztatach CV","Open","","Tester Oprogramowania","2024-11-03","","Urząd Pracy","","",""
"182057","215463","2024-08-28 09:09:22","Propozycja warsztatów","Lost","4.6 Brak zaliczenia","Tester Oprogramowania","2024-11-03","","Własne","","",""
"182021","215165","2024-08-27 08:31:35","Kolejka (darmowa)","Open","","Analityk Biznesowy","2024-10-18","","Urząd Pracy","","",""
"181980","213971","2024-08-26 09:24:50","Propozycja warsztatów","Open","","Framework Scrum: Scrum Master & Product Owner","2024-12-15","","Własne","","",""
"181846","215164","2024-08-19 13:07:52","Po warsztatach CV","Open","","Python Developer","2024-11-17","","Amazon","","",""
"181844","212988","2024-08-19 13:04:52","Propozycja warsztatów","Open","","Python Developer","2024-11-17","","Amazon","","",""
"181841","214469","2024-08-19 13:01:13","Po warsztatach CV","Open","","Python Developer","2024-11-17","","Amazon","","",""
"181836","214917","2024-08-19 12:55:44","Po warsztatach CV","Open","","Python Developer","2024-11-17","","Amazon","","",""
"181833","207097","2024-08-19 12:48:29","Propozycja warsztatów","Open","","Python Developer","2024-11-17","","Amazon","Brak informacji","Brak informacji","Brak informacji"
"181831","170923","2024-08-19 12:40:55","Propozycja warsztatów","Lost","4.6 Brak zaliczenia","Python Developer","2024-11-17","","Pracodawca","","",""
"181825","211919","2024-08-19 11:11:12","Po warsztatach CV","Open","","Python Developer","2024-12-29","","Własne","","",""
"181819","214678","2024-08-19 09:49:14","Propozycja warsztatów","Lost","4.6 Brak zaliczenia","Data Science - SQL","2024-10-13","","Własne","","",""
"181706","213816","2024-08-13 12:33:15","Propozycja warsztatów","Lost","4.6 Brak zaliczenia","Python Developer","2024-11-17","","","","",""
"181661","214277","2024-08-12 08:35:53","Po warsztatach CV","Open","","Analityk Biznesowy","2024-09-13","2024/9/10","Amazon","","",""
"181657","214748","2024-08-12 08:31:10","Kolejka (darmowa)","Open","","Analityk Biznesowy","2024-09-13","2024/9/18","Amazon","","",""
"181655","213840","2024-08-12 08:29:16","Kolejka (darmowa)","Open","","Analityk Biznesowy","2024-09-13","","Amazon","","",""
"181540","215125","2024-08-06 15:27:40","Po konsultacji CV","Open","","Analityk Biznesowy","2024-10-20","","Orange","","",""
"181487","199853","2024-08-05 08:29:53","Propozycja warsztatów","Open","","Tester Automatyzujący","2024-10-11","","Amazon","Brak informacji","Brak informacji","Brak informacji"
"181485","167883","2024-08-05 08:27:29","Propozycja warsztatów","Open","","Tester Automatyzujący","2024-10-11","","Amazon","Brak informacji","Brak informacji","Brak informacji"
"181481","214226","2024-08-05 08:24:23","Propozycja warsztatów","Open","","Tester Automatyzujący","2024-10-11","","Amazon","","",""
"181479","214672","2024-08-05 08:21:18","Propozycja warsztatów","Open","","Tester Automatyzujący","2024-10-11","","Amazon","","",""
"181440","215080","2024-08-02 09:17:54","Po warsztatach CV","Open","","Analityk Biznesowy","2024-09-13","2024/9/20","","","",""
"181430","215171","2024-08-01 14:25:39","Kolejka (darmowa)","Open","","Analityk Biznesowy","2024-09-15","2024/9/11","Własne","","",""
"181278","215089","2024-07-26 14:24:29","Po rozmowie 2","Open","","Framework Scrum: Scrum Master & Product Owner","2024-09-15","","Orange","","",""
"181274","215088","2024-07-26 14:20:19","Zakwalifikowani","Open","","Framework Scrum: Scrum Master & Product Owner","2024-09-15","","Orange","","",""
"181271","215087","2024-07-26 14:11:11","Zakwalifikowani","Open","","Cybersecurity","2024-10-27","","Orange","","",""
"181234","212294","2024-07-24 14:23:20","Symulacja 1","Open","","Frontend Developer - HTML/CSS","2024-07-20","","","","",""
"181230","211072","2024-07-24 10:07:57","Kolejka (darmowa)","Open","","Analityk Biznesowy","2024-10-20","","Własne","","",""
"181130","214501","2024-07-19 13:32:23","Kolejka (darmowa)","Open","","Python Developer (ENG)","2024-10-04","","Amazon","","",""
"181127","191425","2024-07-19 13:30:38","Kolejka (darmowa)","Open","","Python Developer (ENG)","2024-10-04","","Amazon","","",""
"181125","214619","2024-07-19 13:28:41","Kolejka (darmowa)","Open","","Python Developer (ENG)","2024-10-04","","Amazon","","",""
"181121","213930","2024-07-19 13:26:57","Po warsztatach CV","Open","","Python Developer (ENG)","2024-10-04","","Amazon","","",""
"181119","209417","2024-07-19 13:24:06","Kolejka (darmowa)","Open","","Python Developer (ENG)","2024-10-04","","Amazon","","",""
"181116","214268","2024-07-19 13:21:36","Kolejka (darmowa)","Open","","Python Developer (ENG)","2024-10-04","","Amazon","","",""
"181114","213368","2024-07-19 13:19:28","Kolejka (darmowa)","Open","","Python Developer (ENG)","2024-10-04","","Amazon","","",""
"181111","196433","2024-07-19 13:17:25","Kolejka (darmowa)","Open","","Python Developer (ENG)","2024-10-04","","Amazon","","",""
"181108","213866","2024-07-19 13:15:37","Kolejka (darmowa)","Open","","Python Developer (ENG)","2024-10-04","","Amazon","","",""
"181087","214975","2024-07-18 15:17:29","Propozycja warsztatów","Lost","4.4 Przeterminowani","Frontend Developer - Js&React","2024-10-18","2024/10/5","KFS","","",""
"181059","214674","2024-07-17 14:17:56","Po warsztatach CV","Lost","4.6 Brak zaliczenia","Python Developer","2024-11-17","","","","",""
"181002","203356","2024-07-15 13:04:39","Kolejka (darmowa)","Open","","SQL (AM)","2024-07-26","2024/7/61","Amazon","Brak informacji","Brak informacji","Brak informacji"
"181000","214453","2024-07-15 13:03:44","Kolejka (darmowa)","Open","","SQL (AM)","2024-07-26","2024/7/58","Amazon","","",""
"180998","214419","2024-07-15 13:03:20","Kolejka (darmowa)","Open","","SQL (AM)","2024-07-26","2024/7/56","Amazon","","",""
"180996","213908","2024-07-15 13:02:54","Kolejka (darmowa)","Open","","SQL (AM)","2024-07-26","2024/7/62","Amazon","","",""
"180994","192313","2024-07-15 13:01:18","Kolejka (darmowa)","Open","","SQL (AM)","2024-07-26","2024/7/63","Amazon","","",""
